City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Esmeraldas,BR,70.84,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
2,Grand Gaube,MU,77.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
6,Mahibadhoo,MV,81.79,overcast clouds,3.7833,72.9667,Omadhoo Inn
10,Cape Town,ZA,71.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
16,Geraldton,AU,70.21,light rain,-28.7667,114.6,Broadwater Mariner Resort
17,Butaritari,KI,82.4,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
19,Saint-Philippe,RE,74.75,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
23,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
26,Rikitea,PF,75.69,scattered clouds,-23.1203,-134.9692,People ThankYou
30,Puerto Colombia,CO,86.09,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
31,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
32,Rafai,CF,73.81,broken clouds,4.95,23.9167,
35,Dingle,PH,75.47,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
37,Vila Velha,BR,71.55,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
44,Busselton,AU,78.04,clear sky,-33.65,115.3333,Observatory Guest House
45,Diffa,NE,72.5,clear sky,13.3154,12.6113,ProDAF/Diffa
46,Cap Malheureux,MU,77.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
55,Castro,BR,71.73,clear sky,-24.7911,-50.0119,CHACARA BAILLY
56,Itarema,BR,83.98,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
60,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
65,Inirida,CO,81.81,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
67,Richards Bay,ZA,71.69,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
69,Kavaratti,IN,80.28,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
70,Sao Filipe,CV,77.45,overcast clouds,14.8961,-24.4956,Hotel Xaguate
72,Honiara,SB,78.8,moderate rain,-9.4333,159.95,Heritage Park Hotel
75,Mahebourg,MU,77.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
78,Ngama,TD,78.67,scattered clouds,11.7833,17.1667,
79,Mar Del Plata,AR,71.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
