City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,2021-12-08 20:23:49,55.7435,-97.8558,-12.84,77,90,0.0,overcast clouds
1,Esmeraldas,BR,2021-12-08 20:23:05,-19.7625,-44.3139,70.84,81,63,4.47,broken clouds
2,Grand Gaube,MU,2021-12-08 20:27:19,-20.0064,57.6608,77.38,69,25,5.01,scattered clouds
3,Maple Creek,CA,2021-12-08 20:27:19,49.9168,-109.4848,45.01,53,18,20.71,few clouds
4,Khatanga,RU,2021-12-08 20:27:19,71.9667,102.5,1.33,95,100,11.95,light snow
5,Bredasdorp,ZA,2021-12-08 20:27:20,-34.5322,20.0403,65.28,89,99,12.55,overcast clouds
6,Mahibadhoo,MV,2021-12-08 20:27:20,3.7833,72.9667,81.79,76,100,8.88,overcast clouds
7,Kodiak,US,2021-12-08 20:24:22,57.79,-152.4072,36.91,65,75,23.02,broken clouds
8,Leningradskiy,RU,2021-12-08 20:27:21,69.3833,178.4167,-7.96,94,100,16.87,overcast clouds
9,Latehar,IN,2021-12-08 20:27:21,23.75,84.5,58.91,69,0,2.57,clear sky
10,Cape Town,ZA,2021-12-08 20:23:36,-33.9258,18.4232,71.11,69,0,1.01,clear sky
11,Tura,IN,2021-12-08 20:27:22,25.5198,90.2201,61.34,83,0,3.89,clear sky
12,Albany,US,2021-12-08 20:25:44,42.6001,-73.9662,35.62,79,100,3.02,overcast clouds
13,Okhotsk,RU,2021-12-08 20:27:22,59.3833,143.3,-22.36,80,1,14.52,clear sky
14,Ilulissat,GL,2021-12-08 20:27:22,69.2167,-51.1,6.13,86,100,4.16,overcast clouds
15,Taoudenni,ML,2021-12-08 20:26:39,22.6783,-3.9836,65.79,15,99,9.24,overcast clouds
16,Geraldton,AU,2021-12-08 20:27:23,-28.7667,114.6,70.21,88,90,8.05,light rain
17,Butaritari,KI,2021-12-08 20:27:23,3.0707,172.7902,82.4,77,99,12.86,overcast clouds
18,Iqaluit,CA,2021-12-08 20:27:23,63.7506,-68.5145,6.53,77,90,3.0,light shower snow
19,Saint-Philippe,RE,2021-12-08 20:27:23,-21.3585,55.7679,74.75,74,28,10.04,scattered clouds
20,Shellbrook,CA,2021-12-08 20:27:24,53.2168,-106.4011,11.43,94,100,11.95,light snow
21,Bloomfield,US,2021-12-08 20:22:49,40.8068,-74.1854,43.05,67,40,3.0,scattered clouds
22,Aklavik,CA,2021-12-08 20:24:37,68.2191,-135.0107,16.52,79,90,10.36,light snow
23,Avarua,CK,2021-12-08 20:27:25,-21.2078,-159.775,78.85,89,90,4.61,light rain
24,Port Elizabeth,ZA,2021-12-08 20:27:25,-33.918,25.5701,65.1,100,90,6.91,light rain
25,Mataura,NZ,2021-12-08 20:27:25,-46.1927,168.8643,52.48,93,97,1.25,overcast clouds
26,Rikitea,PF,2021-12-08 20:27:26,-23.1203,-134.9692,75.69,67,49,21.23,scattered clouds
27,Tangwani,PK,2021-12-08 20:27:26,28.2787,68.9972,55.33,27,0,2.35,clear sky
28,North Platte,US,2021-12-08 20:27:26,41.1239,-100.7654,58.98,31,1,4.0,clear sky
29,Barrow,US,2021-12-08 20:27:26,71.2906,-156.7887,8.62,72,90,26.46,haze
30,Puerto Colombia,CO,2021-12-08 20:27:27,10.9878,-74.9547,86.09,72,35,18.92,scattered clouds
31,Hilo,US,2021-12-08 20:27:27,19.7297,-155.09,78.8,46,90,5.75,light rain
32,Rafai,CF,2021-12-08 20:27:28,4.95,23.9167,73.81,61,54,2.95,broken clouds
33,Tuktoyaktuk,CA,2021-12-08 20:27:28,69.4541,-133.0374,12.2,92,90,12.66,overcast clouds
34,Onega,RU,2021-12-08 20:27:29,63.9061,38.1404,11.34,96,98,1.59,overcast clouds
